epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_seconds
1,1.566475,0.4398,1.209716,0.5616,0.001,60.3
2,1.270448,0.550867,1.035889,0.634,0.0009938441702975688,59.85
3,1.169125,0.586,1.000796,0.6548,0.0009755282581475768,58.66
4,1.118572,0.606,0.935164,0.673,0.0009455032620941839,57.84
5,1.070182,0.622956,0.907027,0.6804,0.0009045084971874737,59.3
6,1.035024,0.637778,0.906045,0.6776,0.0008535533905932737,59.28
7,1.014644,0.644156,0.889951,0.691,0.0007938926261462366,59.68
8,0.984943,0.658711,0.871273,0.6958,0.0007269952498697733,60.98
9,0.955239,0.666756,0.867821,0.6932,0.0006545084971874737,62.82
10,0.934331,0.675089,0.811183,0.7172,0.0005782172325201155,67.66
11,0.917593,0.682711,0.798681,0.7208,0.0005,58.74
12,0.89876,0.688267,0.785586,0.7268,0.0004217827674798847,69.78
13,0.889192,0.691689,0.775006,0.7318,0.00034549150281252633,59.21
14,0.876095,0.695778,0.758623,0.7386,0.00027300475013022663,58.94
15,0.864458,0.701733,0.750527,0.7388,0.00020610737385376348,58.82
16,0.852711,0.702756,0.741139,0.7412,0.00014644660940672625,58.37
17,0.842628,0.707867,0.736278,0.7434,9.549150281252631e-05,59.13
18,0.840016,0.7104,0.727839,0.7466,5.4496737905816096e-05,59.36
19,0.833836,0.713733,0.727046,0.748,2.447174185242323e-05,59.83
20,0.834256,0.713933,0.72558,0.7474,6.15582970243117e-06,59.45
